"create_date","update_date","coherence","geom","height","lat","lon","ordering","geom_4326","periodic_properties","old_scatterer_id","scatterer_id"
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.67","0101000020110F0000D826C1EF46A83C41E21D9A6A612D5341","19.4","41.100696","16.871142",987545508,"0101000020E61000000A2C802903DF3040446B459BE38C4440","{""g"": {""a"": 5.305, ""v"": -0.5, ""an"": 0.1370}, ""ly"": {""a"": 3.3233, ""v"": 1.0104, ""an"": 0.0875}}",1190205202,711255752
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.75","0101000020110F0000AB9409B038A83C41CDDC530B622D5341","26","41.100713","16.871014",1921222010,"0101000020E6100000AF5B04C6FADE30401AA4E029E48C4440","{""g"": {""a"": 3.9144, ""v"": 0.0, ""an"": 0.1003}, ""ly"": {""a"": 1.8435, ""v"": 0.4187, ""an"": 0.0485}}",1190205205,711255749
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.69","0101000020110F00001C3387F91FA83C4164590D14632D5341","30.4","41.100741","16.870792",1559129605,"0101000020E6100000529E7939ECDE3040E42EC214E58C4440","{""g"": {""a"": 5.4733, ""v"": 0.0, ""an"": 0.1415}, ""ly"": {""a"": 1.8039, ""v"": 0.1173, ""an"": 0.0475}}",1190205208,711255746
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.73","0101000020110F0000C2D0B08467A73C41D81209CC6A2D5341","29.1","41.10095","16.869135",1170953422,"0101000020E610000018CFA0A17FDE3040FE43FAEDEB8C4440","{""g"": {""a"": 10.4235, ""v"": 0.5, ""an"": 0.2722}, ""ly"": {""a"": 9.7795, ""v"": 11.1775, ""an"": 0.2575}}",1190205294,711255660
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.69","0101000020110F000038CE4E9E61A73C41F380370E6B2D5341","26.9","41.100957","16.869082",527938671,"0101000020E6100000D28A6F287CDE3040B1A6B228EC8C4440","{""g"": {""a"": 14.3381, ""v"": 0.0, ""an"": 0.3757}, ""ly"": {""a"": 8.5417, ""v"": -0.295, ""an"": 0.2249}}",1190205298,711255656
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.72","0101000020110F000003AFAFBD67A73C41D81209CC6A2D5341","19.6","41.10095","16.869137",1981404552,"0101000020E610000059BE2EC37FDE3040FE43FAEDEB8C4440","{""g"": {""a"": 6.2206, ""v"": -0.5, ""an"": 0.1612}, ""ly"": {""a"": 6.2206, ""v"": 2.6404, ""an"": 0.1638}}",1190205302,711255652
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.88","0101000020110F00007F6BA15D51A73C41DD1BDAC16B2D5341","25.6","41.100976","16.868936",2095577997,"0101000020E61000002B51F69672DE304028D714C8EC8C4440","{""g"": {""a"": 4.4348, ""v"": 0.5, ""an"": 0.1140}, ""ly"": {""a"": 0.7233, ""v"": 0.828, ""an"": 0.0190}}",1190205306,711255648
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.96","0101000020110F00003383265D50A73C41F4744ECB6B2D5341","23.1","41.100977","16.868927",2056442801,"0101000020E6100000849CF7FF71DE3040F85278D0EC8C4440","{""g"": {""a"": 2.4721, ""v"": 0.5, ""an"": 0.0622}, ""ly"": {""a"": 0.2928, ""v"": -0.2713, ""an"": 0.0077}}",1190205309,711255645
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.82","0101000020110F00005BB6BDCC4BA73C418B3294FA6B2D5341","23.2","41.100982","16.868886",1895335487,"0101000020E6100000C7F319506FDE30400ABE69FAEC8C4440","{""g"": {""a"": 6.1893, ""v"": 0.0, ""an"": 0.1604}, ""ly"": {""a"": 2.3413, ""v"": 2.5678, ""an"": 0.0617}}",1190205314,711255640
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.67","0101000020110F0000B3AAFF3332A43C412446954A8D2D5341","15.8","41.101884","16.861757",2114486334,"0101000020E61000005D19541B9CDC30402AFEEF880A8D4440","{""g"": {""a"": 8.5961, ""v"": 0.0, ""an"": 0.2240}, ""ly"": {""a"": 5.261, ""v"": -6.4425, ""an"": 0.1385}}",1190205757,711255198
